Sample,Condition,BMP 20:5-22:6 Results,BMP 18:3-22:6 Results,BMP 18:2-20:5 Results,BMP 20:5_20:5 Results,BMP 22:6-22:6 Results,BMP 18:3-22:5 Results,BMP 22:5-22:6 Results,BMP 18:2-18:3 Results,BMP 18:2-22:6 Results,BMP 16:1-16:1 Results,BMP 20:4-20:4 Results,BMP 16:0-18:3 Results,PG 22:5-22:6 Results,BMP 18:2-22:5 Results,BMP 18:2-20:4 Results,BMP 18:1-20:5 Results,BMP 18:0-20:5 Results,PG 20:5-20:5 Results,BMP 18:2-18:2 Results,BMP 16:1-22:6 Results,PG 16:0-20:5 Results,BMP 16:1-20:4 Results,PG 18:2-18:3 Results,BMP 18:1-22:6 Results,BMP 18:1-18:3 Results,BMP 16:1-20:5 Results,PG 16:1-16:1 Results,BMP 16:0-22:6 Results,PG 20:5-22:6 Results,BMP 18:3-18:3 Results,BMP 18:1-20:4 Results,BMP 18:0-20:4 Results,PG 18:3-22:5 Results,BMP 22:5-22:5 Results,BMP 16:0-20:4 Results,PG 20:4-20:5 Results,PG 18:2-18:2 Results,BMP 18:1-18:2 Results,BMP 16:0-16:1 Results,BMP 16:0-18:2 Results,PG 16:0-18:3 Results,PG 18:2-20:5 Results,PG 16:0-22:6 Results,PG 16:0-20:4 Results,PG 16:1-20:5 Results,PG 18:3-18:3 Results,BMP 18:0-18:3 Results,PG 18:2-22:6 Results,PG 16:0-18:0 Results,PG 18:2-22:5 Results,PG 18:1-18:3 Results,PG 20:4-20:4 Results,PG 22:5-22:5 Results,PG 18:1-20:4 Results,BMP 16:0-16:0 Results,PG 16:1-20:4 Results,PG 18:1-20:5 Results,PG 18:2-20:4 Results,PG 16:0-16:1 Results,PG 18:3-22:6 Results,PG 22:6-22:6 Results,PG 18:0-18:3 Results,PG 16:0-18:2 Results,PG 16:1-22:6 Results,PG 18:1-18:2 Results,BMP 16:0-18:1 Results,BMP 18:1-18:1 Results,BMP 16:0-18:0 Results,PG 18:0-20:5 Results,PG 18:0-20:4 Results,BMP 18:0-18:2 Results,PG 16:0-16:0 Results,PG 18:1-18:1 Results,PC 15:0_18:1(d7) Results,PG 16:0-18:1 Results,BMP 18:0-18:1 Results,PG 18:1-22:6 Results,PG 18:0-18:2 Results,PG 18:0-18:1 Results,BMP 18:0-18:0 Results,PG 18:0-18:0 Results
1,Cold,4.1619,0.173,0.1686,0.0068,0.0377,0.0512,0.5697,0.0116,4.5245,0.0177,0.3435,0.0387,0.7533,0.0446,0.2962,0.1762,0.0295,0.1189,1.8674,0.0299,0.16,0.0549,0.0431,6.9036,0.0143,0.0054,0.321,0.8924,0.5452,0.0881,1.2529,0.1297,0.0179,0.2734,0.408,1.4083,0.6742,1.7302,0.0291,4.1028,0.2459,11.5291,22.9416,410.6145,16.6799,0.0596,2.4053,16.4138,0.0356,5.0935,0.5613,1.0129,0.8783,19.3208,5.9452,40.102,0.8891,1.7688,384.5946,1.2935,0.0793,3.9647,116.0844,57.2375,3.5769,1.9117,7.6162,0.0567,0.0407,0.6234,0.47,118.6405,8.8119,843.7593,206.7045,1.1816,22.8452,4.9386,46.673,,33.6573
2,Cold,2.4908,0.0345,0.1372,0.0029,0.0175,0.0148,0.4149,0.017,1.994,0.0142,0.1333,0.0078,0.1601,0.0378,0.1389,0.0962,0.015,0.0309,1.1266,0.0478,0.0236,0.0742,0.0263,1.8928,0.0146,0.0153,0.1483,0.5843,1.7814,0.0327,0.4706,0.0155,0.037,0.2901,0.0773,2.5764,0.0823,2.0021,0.0516,1.8873,0.0119,7.0125,2.8612,69.506,8.092,0.0125,1.1872,12.0073,0.021,4.2089,0.1232,0.6354,0.2439,4.6524,1.1826,26.4979,0.4665,0.2256,63.3966,0.73,0.0364,2.499,18.8287,43.5255,1.4444,0.6955,5.8165,0.0239,0.0255,0.1267,0.1587,17.9012,1.9769,907.5108,42.4394,0.6965,19.5773,6.154,32.1454,,22.2901
3,Cold,3.8051,0.3589,0.0644,0.0048,0.0213,0.2156,0.4714,0.0036,2.6728,0.0035,0.1852,0.004,0.467,0.1842,0.2797,0.168,0.0079,0.0739,0.7961,0.0512,0.0146,0.0302,0.0041,3.5958,0.0091,0.0052,0.1125,0.637,1.1914,0.1107,0.8062,0.0296,0.0104,0.3469,0.0805,3.4875,0.3658,0.3316,0.0142,3.2772,0.0475,3.677,4.8301,135.8884,11.6423,0.1248,2.8273,12.8686,0.0164,5.2067,0.4723,1.0611,0.5107,9.9095,1.741,45.7077,0.5153,0.8584,103.7197,1.0893,0.0279,4.586,30.525,35.1257,1.8079,2.0931,9.2685,0.0322,0.1962,0.512,0.3793,30.6356,3.245,832.9335,67.6393,1.3553,25.2725,5.4992,48.8117,0.0082,38.8177
4,Cold,2.0943,0.1068,0.1631,0.0042,0.01,0.0843,0.1146,0.0038,1.5152,0.0147,0.4398,0.0067,0.3463,0.0629,0.2293,0.1636,0.0167,0.0129,0.499,0.0527,0.4328,0.0168,0.0006,1.9624,0.022,0.0121,0.1748,1.6767,1.4238,0.0498,0.2954,0.0105,0.0241,0.1405,0.4797,2.7596,0.2058,1.7317,0.1909,2.8179,0.0669,4.1875,15.3601,170.2088,2.6681,0.2631,0.0661,10.195,0.0379,3.05,0.4089,0.3163,0.1326,7.0887,2.6223,18.3151,0.1713,0.0838,150.9032,0.408,0.0254,1.0094,87.751,41.5877,1.1819,1.1138,3.9327,0.0376,0.0546,0.5792,0.3243,84.2013,5.2389,1028.9776,130.8221,0.5293,15.9031,2.1573,24.814,0.0028,23.0246
5,Cold,4.1913,0.3283,0.1038,0.008,0.042,0.1718,0.6484,0.0046,3.4087,0.0334,0.6613,0.0016,1.6319,0.1862,0.4261,0.2628,0.0157,0.2206,1.3819,0.0436,0.1795,0.0941,0.0107,4.5479,0.0755,0.0171,0.0873,0.7392,1.911,0.0809,0.8501,0.0976,0.0029,0.293,0.1483,3.2592,0.0408,3.2959,0.046,2.0242,0.1034,7.9185,9.1607,181.135,12.3335,0.0852,1.4242,11.3229,0.0309,3.4918,0.372,0.18,0.5869,11.1187,3.0542,30.9208,1.0269,0.3847,177.9674,0.1569,0.0546,2.6716,50.8185,38.9718,2.2214,2.0953,9.2874,0.0287,0.0731,0.7272,0.0217,52.8737,4.3844,857.5731,100.9152,0.6122,16.5272,3.2299,34.85,0.0197,25.8799
6,Cold,2.7089,0.086,0.1056,0.0028,0.0372,0.0555,0.1562,0.0084,2.9552,0.0175,0.212,0.026,0.6956,0.0753,0.6101,0.1351,0.0048,0.2264,1.7346,0.1069,0.0347,0.1063,0.0215,1.388,0.0131,0.0081,0.2478,0.5473,2.1433,0.2107,0.5135,0.0132,0.012,0.121,0.1152,4.0334,0.5023,2.8489,0.0469,0.9805,0.0243,7.7767,7.0109,129.6728,11.9395,0.3835,1.3369,16.5991,0.1246,5.3398,0.3312,0.7093,0.2621,7.9099,2.293,35.7497,0.6229,1.2512,123.782,1.1845,0.1122,2.1101,45.0198,51.4419,2.5651,0.9529,7.4714,0.038,0.0572,0.1139,0.072,48.0623,4.5591,1207.461,87.4821,0.7441,19.9867,1.8071,43.5704,0.0234,41.1755
7,RT,3.1418,0.0734,0.1849,0.0032,0.0085,0.0152,0.4765,0.0148,2.3355,0.0131,0.1131,0.0185,0.3559,0.1855,0.3622,0.2571,0.0076,0.164,1.4306,0.0976,0.5622,0.1467,0.0124,4.2928,0.003,0.0082,0.6258,3.145,2.1172,0.0471,0.797,0.0454,0.0123,0.1651,0.3038,3.8314,0.5192,3.7158,0.0215,4.6743,0.161,7.7799,29.5467,640.9332,13.5399,0.0302,0.1232,9.8557,0.0871,3.0713,0.8644,1.0554,0.5752,23.3379,11.9358,29.6648,0.6033,0.8057,699.3393,0.5274,0.1429,3.6069,151.0781,56.1973,4.1626,10.8615,4.7591,0.2116,0.3971,0.9656,0.59,188.9662,8.9371,789.7987,298.196,0.7242,20.7079,1.6779,37.6693,0.0255,26.2733
8,RT,1.9958,0.0996,0.0489,0.0027,0.0293,0.0967,0.324,0.0028,1.0934,0.0258,0.3753,0.0054,0.2854,0.0674,0.1451,0.08,0.005,0.2315,0.3231,0.0432,0.0689,0.0541,0.0085,2.206,0.0351,0.0173,0.09,0.9038,1.5446,0.0971,0.6826,0.0201,0.0089,0.2614,0.4164,2.3946,0.3264,0.5539,0.0188,2.4333,0.0673,9.1214,14.4945,265.1441,12.4222,0.121,1.692,12.3655,0.0453,3.9099,0.2387,1.1346,0.6999,12.1014,3.9931,30.0141,0.6598,1.4663,249.9557,3.7055,0.1399,2.7648,75.728,52.9971,2.4303,4.6524,7.6288,0.1004,0.0114,0.8185,0.3278,79.898,4.8936,801.8575,128.9801,0.7444,19.0674,2.8707,39.3039,,31.7359
9,RT,4.1922,0.0504,0.2235,0.0016,0.0139,0.2294,0.626,0.0183,4.1152,0.0127,0.4849,0.0063,0.375,0.1743,0.5489,0.1119,0.0053,0.0084,2.1906,0.0668,0.1595,0.0341,0.0621,5.0993,0.0325,0.018,0.1107,1.7556,1.4902,0.1134,0.7358,0.0505,0.0966,0.6629,0.2553,1.2978,0.1897,1.2825,0.0203,2.4966,0.103,6.0337,17.9416,317.3152,9.6907,0.0132,1.7966,10.679,0.0138,3.5814,0.3349,0.7291,0.7868,13.0889,5.1211,28.6822,0.3346,0.1373,302.5667,1.2707,0.1015,3.8076,84.5051,53.0688,2.7574,0.6973,4.1541,0.8624,0.0774,0.7665,0.4505,101.9603,6.0671,857.6263,174.3212,0.6532,23.3766,3.8322,44.571,0.0052,28.3172
10,RT,5.0737,0.1097,0.1689,0.0022,0.0559,0.0201,0.4919,0.015,3.7905,0.0056,0.1854,0.0027,0.9944,0.0276,0.5326,0.1827,0.0097,0.2792,1.8725,0.0489,0.1693,0.0106,0.0283,5.9791,0.0181,0.0018,0.406,2.7468,2.5228,0.0451,1.0952,0.0127,0.1456,0.3067,0.9647,4.6806,0.0803,2.4226,0.1645,1.3961,0.138,7.0971,28.5826,632.0566,17.5969,0.3167,2.216,10.2115,0.0117,3.5941,0.1409,1.411,1.1505,21.1575,12.3764,38.4243,0.604,0.1737,747.8538,0.61,0.0593,4.5751,126.9338,65.9737,4.404,5.3131,14.2924,0.0957,0.1169,0.3704,0.3815,190.4996,8.1971,759.9303,311.0866,0.7791,29.2125,4.3725,52.9605,0.0342,37.2358
11,RT,3.1243,0.1311,0.1118,0.0246,0.0146,0.3043,1.0541,0.0025,2.7653,0.0163,0.497,0.0072,1.5614,0.0505,0.0315,0.0467,0.0113,0.2773,0.5245,0.0052,0.0096,0.0548,0.0138,3.2089,0.0278,0.0121,0.028,0.2799,1.2648,0.2378,0.5977,0.0125,0.0059,0.0852,0.083,5.2703,0.1983,2.8069,0.1239,1.1542,0.0693,2.1995,1.4072,64.7763,19.2536,1.5027,3.1685,14.1089,0.0711,5.3136,0.6897,1.3755,1.1388,9.1389,0.6875,47.8073,0.662,1.332,37.935,4.9961,0.1354,7.1688,14.2361,51.7518,1.5603,2.1711,3.5391,1.1437,0.0118,0.0951,0.0546,9.2578,2.5911,802.7668,42.5986,0.9253,19.7051,2.1945,45.0292,0.0016,32.6072
12,RT,5.0986,0.0924,0.1763,0.0277,0.0163,0.2296,0.713,0.0081,3.7431,0.021,0.2556,0.0113,0.4942,0.169,0.106,0.157,0.0071,0.0562,1.7526,0.0941,0.4859,0.0495,0.0092,5.5484,0.0064,0.0072,0.4653,2.2699,1.0277,0.1375,1.2841,0.0437,0.0866,0.2735,0.6299,3.2514,0.2213,3.4467,0.4218,3.5294,0.0565,8.5709,21.7469,450.9151,9.2109,0.1473,1.6869,11.7414,0.1472,3.5035,0.1406,0.3899,0.1466,18.3643,6.2919,33.717,0.6972,0.1326,392.955,0.6529,0.0187,3.2654,107.7823,48.721,4.126,8.2573,11.134,0.1087,0.0653,0.3082,0.507,129.7794,8.3454,989.6774,223.9966,0.7155,21.5186,3.1341,41.7126,0.0033,33.3148
IS,IS,0.0012,0.0028,0.0027,0.0051,0.0086,0.361,0.0022,0.0157,0.0063,0.0026,0.0034,0.0201,0.0011,0.0102,0.0032,0.0076,0.0031,0.0202,0.0062,0.0003,0.035,0.0002,0.0288,0.0091,0.0206,0.0011,0.0235,0.008,0.0112,0.0129,0.0081,0.008,0.0288,0.0034,0.0054,0.0368,0.0959,0.025,0.0121,0.0149,0.0014,0.0207,0.0601,0.0017,0.0725,0.0006,0.0095,0.0429,0.0144,0.0343,0.0233,0.0006,0.0018,0.0805,0.0113,0.0004,0.0178,0.0263,0.0176,0.0006,0.2041,0.0174,0.0231,0.0222,0.1776,0.0044,0.0005,0.0005,0.0198,0.0008,0.0004,0.0463,0.3033,2729.4684,0.0507,0.0085,0.0052,0.0212,0.0164,0.0002,0.0091