Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
PC 16:1_18:1,0.887057294,2.3071,TRUE,UP,PC 16:1_18:1,sig,1.8494,0.0049
PC 16:1_18:2,0.814263291,2.5821,TRUE,UP,PC 16:1_18:2,sig,1.7584,0.0026
PC 16:1_18:3,0.358508792,0.9648,TRUE,UP,PC 16:1_18:3,sig,1.2821,0.1084
PC 16:1_18:3_2,0.339821505,0.6212,FALSE,NO,NA,not,1.2656,0.2392
PC 16:1_20:4,0.210762894,0.8416,FALSE,NO,NA,not,1.1573,0.144
PC 16:1_20:5,1.153351383,0.3868,FALSE,NO,NA,not,2.2243,0.4104
PC 16:1_22:6,0.358283723,0.9406,TRUE,UP,PC 16:1_22:6,sig,1.2819,0.1147
PC 17:0_18:1,0.167100969,0.3883,FALSE,NO,NA,not,1.1228,0.409
PC 17:0_18:1_2,0.424599662,0.3758,FALSE,NO,NA,not,1.3422,0.4209
PC 17:0_18:2,0.158724796,0.4103,FALSE,NO,NA,not,1.1163,0.3888
PC 17:0_18:2_2,0.0739573,0.302,FALSE,NO,NA,not,1.0526,0.4989
PC 17:0_20:3,-0.754869469,0.3311,FALSE,NO,NA,not,0.5926,0.4666
PC 17:0_20:4,0.152767519,0.2911,FALSE,NO,NA,not,1.1117,0.5116
PC 17:0_20:4_2,0.043904394,0.0898,FALSE,NO,NA,not,1.0309,0.8132
PC 17:0_22:6,-0.020779469,0.0635,FALSE,NO,NA,not,0.9857,0.864
PC 17:1_18:2,0.521854803,0.7319,FALSE,NO,NA,not,1.4358,0.1854
PC 17:1_20:4,-0.24793653,1.255,TRUE,DOWN,PC 17:1_20:4,sig,0.8421,0.0556
PC 17:1_22:6,0.0739573,0.1133,FALSE,NO,NA,not,1.0526,0.7704
PC 17:2_18:2,1.651545425,0.9908,TRUE,UP,PC 17:2_18:2,sig,3.1417,0.1021
PC 18:0_18:0,0.057138304,0.0311,FALSE,NO,NA,not,1.0404,0.9309
PC 18:0_18:1,0.56774013,1.9009,TRUE,UP,PC 18:0_18:1,sig,1.4822,0.0126
PC 18:0_18:2,0.138814469,0.7834,FALSE,NO,NA,not,1.101,0.1647
PC 18:0_18:2_2,-0.209561572,0.5158,FALSE,NO,NA,not,0.8648,0.3049
PC 18:0_20:1,0.053945425,0.2894,FALSE,NO,NA,not,1.0381,0.5136
PC 18:0_20:3,0.10648233,0.2563,FALSE,NO,NA,not,1.0766,0.5542
PC 18:0_20:3_2,-0.628608416,0.1332,FALSE,NO,NA,not,0.6468,0.7359
PC 18:0_20:4,0.125651102,0.5718,FALSE,NO,NA,not,1.091,0.268
PC 18:0_20:5,-0.076584559,0.2125,FALSE,NO,NA,not,0.9483,0.6131
PC 18:0_22:4,0.167871708,1.0074,TRUE,UP,PC 18:0_22:4,sig,1.1234,0.0983
PC 18:0_22:5,0.27524549,1.659,TRUE,UP,PC 18:0_22:5,sig,1.2102,0.0219
PC 18:0_22:6,0.373174891,1.9939,TRUE,UP,PC 18:0_22:6,sig,1.2952,0.0101
PC 18:0_22:6_2,0.466131129,2.0522,TRUE,UP,PC 18:0_22:6_2,sig,1.3814,0.0089
PC 18:1_18:1,0.47019844,1.9312,TRUE,UP,PC 18:1_18:1,sig,1.3853,0.0117
PC 18:1_18:2,-0.044836012,0.2806,FALSE,NO,NA,not,0.9694,0.5241
PC 18:1_19:1,0.207643013,0.3293,FALSE,NO,NA,not,1.1548,0.4685
PC 18:1_20:1,0.378511623,0.6987,FALSE,NO,NA,not,1.3,0.2001
PC 18:1_20:3,-0.234125836,0.4471,FALSE,NO,NA,not,0.8502,0.3572
PC 18:1_20:4,0.05088474,0.2263,FALSE,NO,NA,not,1.0359,0.5939
PC 18:1_22:5,0.804384035,1.5806,TRUE,UP,PC 18:1_22:5,sig,1.7464,0.0263
PC 18:1_22:6,-0.122962549,0.3516,FALSE,NO,NA,not,0.9183,0.445
PC 18:2_18:2,0.439037963,1.6499,TRUE,UP,PC 18:2_18:2,sig,1.3557,0.0224
PC 18:2_18:3,0.291249913,2.25,TRUE,UP,PC 18:2_18:3,sig,1.2237,0.0056
PC 18:2_18:3_2,0.480678739,1.4567,TRUE,UP,PC 18:2_18:3_2,sig,1.3954,0.0349
PC 18:2_18:4,0.671293372,1.8244,TRUE,UP,PC 18:2_18:4,sig,1.5925,0.015
PC 18:2_20:4,0.04851521,0.0906,FALSE,NO,NA,not,1.0342,0.8117
PC 18:2_22:5,0.071762669,0.3745,FALSE,NO,NA,not,1.051,0.4222
PC 18:2_22:6,0.029417547,0.0565,FALSE,NO,NA,not,1.0206,0.878
PC 18:3_18:3,0.63254742,1.9,TRUE,UP,PC 18:3_18:3,sig,1.5503,0.0126
PC 18:3_20:4,-0.083446923,0.1721,FALSE,NO,NA,not,0.9438,0.6728
PC 18:3_20:5,-0.293005384,0.5358,FALSE,NO,NA,not,0.8162,0.2912
PC 18:3_22:6,-0.05574124,0.1105,FALSE,NO,NA,not,0.9621,0.7754
PC 18:4_22:6,-0.262572817,0.6943,FALSE,NO,NA,not,0.8336,0.2022
PC 19:0_18:1,0.3887957,0.1663,FALSE,NO,NA,not,1.3093,0.6819
PC 19:0_18:2,0.175428791,0.7514,FALSE,NO,NA,not,1.1293,0.1773
PC 19:0_18:2_2,0.200127654,0.685,FALSE,NO,NA,not,1.1488,0.2065
PC 19:0_20:4,0.444136957,1.524,TRUE,UP,PC 19:0_20:4,sig,1.3605,0.0299
PC 19:0_22:6,0.349931373,1.6378,TRUE,UP,PC 19:0_22:6,sig,1.2745,0.023
PC 20:0_18:2,0.031536353,0.0904,FALSE,NO,NA,not,1.0221,0.8121
PC 20:0_20:3,-0.271078173,0.243,FALSE,NO,NA,not,0.8287,0.5715
PC 20:0_20:4,0.056583528,0.1235,FALSE,NO,NA,not,1.04,0.7525
PC 20:0_22:6,0.089633736,0.175,FALSE,NO,NA,not,1.0641,0.6683
PC 20:1_18:2,0.040401515,0.0934,FALSE,NO,NA,not,1.0284,0.8065
PC 20:1_22:6,-0.16197605,0.4043,FALSE,NO,NA,not,0.8938,0.3942
PC 20:2_22:6,-0.150721267,0.1583,FALSE,NO,NA,not,0.9008,0.6945
PC 20:3_20:4,-0.143213454,0.2291,FALSE,NO,NA,not,0.9055,0.5901
PC 20:4_22:5,0.083655897,0.0899,FALSE,NO,NA,not,1.0597,0.813
PC 20:4_22:6,-0.099432628,0.1858,FALSE,NO,NA,not,0.9334,0.6519
PC 20:5_22:6,-0.326986385,1.1418,TRUE,DOWN,PC 20:5_22:6,sig,0.7972,0.0721
PC 22:6_22:6,-0.297253814,0.3807,FALSE,NO,NA,not,0.8138,0.4162
PC 31:0,0.330214177,1.391,TRUE,UP,PC 31:0,sig,1.2572,0.0406
PC 33:1,0.486559928,2.5667,TRUE,UP,PC 33:1,sig,1.4011,0.0027
PC 34:4,0.439463568,1.7561,TRUE,UP,PC 34:4,sig,1.3561,0.0175
PC 35:4,0.294664856,0.9854,TRUE,UP,PC 35:4,sig,1.2266,0.1034
PC 35:7,0.325156118,1.5695,TRUE,UP,PC 35:7,sig,1.2528,0.0269
PC 36:6,0.688851744,1.9617,TRUE,UP,PC 36:6,sig,1.612,0.0109
PC 37:5,0.138290234,0.1227,FALSE,NO,NA,not,1.1006,0.7539
PC 38:2,-0.029735321,0.064,FALSE,NO,NA,not,0.9796,0.863
PC 38:3,-0.056491199,0.0598,FALSE,NO,NA,not,0.9616,0.8714
PC 38:4,0.009060468,0.0217,FALSE,NO,NA,not,1.0063,0.9513
PC 38:7,-0.004479301,0.0137,FALSE,NO,NA,not,0.9969,0.9689
PC 38:7_2,0.173383321,0.2468,FALSE,NO,NA,not,1.1277,0.5665
PC 38:8,-0.042159673,0.0534,FALSE,NO,NA,not,0.9712,0.8843
PC 39:6,0.116231661,0.2153,FALSE,NO,NA,not,1.0839,0.6091
PC 40:4,0.489440176,2.0404,TRUE,UP,PC 40:4,sig,1.4039,0.0091
PC 40:5,-0.234634992,0.4022,FALSE,NO,NA,not,0.8499,0.3961
PC 40:7,-0.151041617,0.2499,FALSE,NO,NA,not,0.9006,0.5625
PC 40:9,0.025028794,0.042,FALSE,NO,NA,not,1.0175,0.9078
PE 14:0_22:6,0.049212535,0.0849,FALSE,NO,NA,not,1.0347,0.8224
PE 15:0_22:6,0.098554307,0.1333,FALSE,NO,NA,not,1.0707,0.7357
PE 16:0_16:1,-0.149920704,0.4529,FALSE,NO,NA,not,0.9013,0.3525
PE 16:0_18:0,0.759070591,1.625,TRUE,UP,PE 16:0_18:0,sig,1.6924,0.0237
PE 16:0_18:1,0.679784089,1.2022,TRUE,UP,PE 16:0_18:1,sig,1.6019,0.0628
PE 16:0_18:2,0.253989266,0.8024,FALSE,NO,NA,not,1.1925,0.1576
PE 16:0_18:3,0.227124934,0.9177,TRUE,UP,PE 16:0_18:3,sig,1.1705,0.1209
PE 16:0_18:3_2,-0.094033025,0.3439,FALSE,NO,NA,not,0.9369,0.453
PE 16:0_20:3,-0.059645288,0.2371,FALSE,NO,NA,not,0.9595,0.5793
PE 16:0_20:3_2,0.042784398,0.1415,FALSE,NO,NA,not,1.0301,0.7219
PE 16:0_20:4,-0.02356304,0.1613,FALSE,NO,NA,not,0.9838,0.6898
PE 16:0_20:5,-0.265517978,1.1695,TRUE,DOWN,PE 16:0_20:5,sig,0.8319,0.0677
PE 16:0_22:6,-0.067031758,0.2274,FALSE,NO,NA,not,0.9546,0.5924
PE 16:1_18:2,0.457961944,1.6598,TRUE,UP,PE 16:1_18:2,sig,1.3736,0.0219
PE 16:1_18:3,0.978927776,1.1043,TRUE,UP,PE 16:1_18:3,sig,1.971,0.0787
PE 16:1_20:4,0.809167457,2.3251,TRUE,UP,PE 16:1_20:4,sig,1.7522,0.0047
PE 16:1_20:5,-0.132419778,0.2181,FALSE,NO,NA,not,0.9123,0.6052
PE 16:1_22:6,0.043904394,0.1681,FALSE,NO,NA,not,1.0309,0.679
PE 17:0_18:1,-0.094495057,0.2083,FALSE,NO,NA,not,0.9366,0.619
PE 17:0_18:2,0.313942357,0.6012,FALSE,NO,NA,not,1.2431,0.2505
PE 17:0_18:2_2,0.049770152,0.149,FALSE,NO,NA,not,1.0351,0.7096
PE 17:0_20:3,0.266876472,0.2942,FALSE,NO,NA,not,1.2032,0.5079
PE 17:0_20:4,-0.036229969,0.1177,FALSE,NO,NA,not,0.9752,0.7626
PE 17:0_22:6,0.224040274,0.2506,FALSE,NO,NA,not,1.168,0.5616
PE 17:1_20:4,-0.118257082,0.1868,FALSE,NO,NA,not,0.9213,0.6504
PE 17:1_22:6,1.538438835,0.8094,FALSE,NO,NA,not,2.9048,0.1551
PE 18:0_18:1,0.668573016,2.1723,TRUE,UP,PE 18:0_18:1,sig,1.5895,0.0067
PE 18:0_18:2,0.151339301,0.5152,FALSE,NO,NA,not,1.1106,0.3054
PE 18:0_20:1,0.008630305,0.0333,FALSE,NO,NA,not,1.006,0.9262
PE 18:0_20:3,0.085016673,0.1693,FALSE,NO,NA,not,1.0607,0.6772
PE 18:0_20:3_2,-0.046176046,0.3419,FALSE,NO,NA,not,0.9685,0.4551
PE 18:0_20:4,0.09328973,0.5698,FALSE,NO,NA,not,1.0668,0.2693
PE 18:0_20:4_2,0.099093179,0.1206,FALSE,NO,NA,not,1.0711,0.7575
PE 18:0_20:5,-0.2187662,0.9088,TRUE,DOWN,PE 18:0_20:5,sig,0.8593,0.1234
PE 18:0_22:4,-0.01377112,0.0425,FALSE,NO,NA,not,0.9905,0.9068
PE 18:0_22:5,-0.064917477,0.118,FALSE,NO,NA,not,0.956,0.7621
PE 18:0_22:5_2,-0.184260638,0.7292,FALSE,NO,NA,not,0.8801,0.1866
PE 18:0_22:6,0.063640993,0.3057,FALSE,NO,NA,not,1.0451,0.4947
PE 18:0_22:6_2,-0.03948829,0.0776,FALSE,NO,NA,not,0.973,0.8364
PE 18:1_18:2,0.351854439,0.9646,TRUE,UP,PE 18:1_18:2,sig,1.2762,0.1085
PE 18:1_20:1,0.273814245,0.5556,FALSE,NO,NA,not,1.209,0.2782
PE 18:1_20:3,-0.164237581,0.4769,FALSE,NO,NA,not,0.8924,0.3335
PE 18:1_20:4,0.216361735,0.839,FALSE,NO,NA,not,1.1618,0.1449
PE 18:1_20:5,-0.445558495,2.2628,TRUE,DOWN,PE 18:1_20:5,sig,0.7343,0.0055
PE 18:1_22:5,-0.956235558,1.3201,TRUE,DOWN,PE 18:1_22:5,sig,0.5154,0.0479
PE 18:1_22:6,-0.044687197,0.0906,FALSE,NO,NA,not,0.9695,0.8117
PE 18:2_18:2,0.581881464,2.0506,TRUE,UP,PE 18:2_18:2,sig,1.4968,0.0089
PE 18:2_18:3,0.448372395,3.4974,TRUE,UP,PE 18:2_18:3,sig,1.3645,3.00E-04
PE 18:2_18:3_2,0.611266825,1.496,TRUE,UP,PE 18:2_18:3_2,sig,1.5276,0.0319
PE 18:2_18:4,0.422986451,0.5623,FALSE,NO,NA,not,1.3407,0.274
PE 18:2_20:4,0.36109457,1.4624,TRUE,UP,PE 18:2_20:4,sig,1.2844,0.0345
PE 18:2_22:5,-1.834441746,1.6554,TRUE,DOWN,PE 18:2_22:5,sig,0.2804,0.0221
PE 18:2_22:6,0.013926706,0.0216,FALSE,NO,NA,not,1.0097,0.9515
PE 18:2_22:6_2,-0.264304536,1.9498,TRUE,DOWN,PE 18:2_22:6_2,sig,0.8326,0.0112
PE 18:3_18:3,0.80182086,2.0424,TRUE,UP,PE 18:3_18:3,sig,1.7433,0.0091
PE 18:3_20:4,-0.251195309,0.5704,FALSE,NO,NA,not,0.8402,0.2689
PE 18:3_22:6,-0.218598318,0.5414,FALSE,NO,NA,not,0.8594,0.2875
PE 18:4_20:4,0.325961996,0.288,FALSE,NO,NA,not,1.2535,0.5152
PE 18:4_22:6,0.055612157,0.0681,FALSE,NO,NA,not,1.0393,0.8549
PE 19:0_18:2,0.33433944,0.7561,FALSE,NO,NA,not,1.2608,0.1753
PE 19:0_18:2_2,0.340847077,1.464,TRUE,UP,PE 19:0_18:2_2,sig,1.2665,0.0344
PE 19:0_20:4,0.268194823,0.923,TRUE,UP,PE 19:0_20:4,sig,1.2043,0.1194
PE 19:0_20:4_2,0.061983516,0.2543,FALSE,NO,NA,not,1.0439,0.5568
PE 19:0_22:6,0.055612157,0.1708,FALSE,NO,NA,not,1.0393,0.6748
PE 20:0_18:2,-0.341719955,0.6078,FALSE,NO,NA,not,0.7891,0.2467
PE 20:0_20:3,0.549225575,1.6678,TRUE,UP,PE 20:0_20:3,sig,1.4633,0.0215
PE 20:0_20:4,-0.061902439,0.1199,FALSE,NO,NA,not,0.958,0.7588
PE 20:0_22:6,-0.323191006,0.7883,FALSE,NO,NA,not,0.7993,0.1628
PE 20:1_20:4,-0.833413086,1.632,TRUE,DOWN,PE 20:1_20:4,sig,0.5612,0.0233
PE 20:1_22:6,-0.674613585,0.3354,FALSE,NO,NA,not,0.6265,0.462
PE 20:2_22:6,-0.810713093,2.168,TRUE,DOWN,PE 20:2_22:6,sig,0.5701,0.0068
PE 20:3_22:6,-0.250851933,2.7788,TRUE,DOWN,PE 20:3_22:6,sig,0.8404,0.0017
PE 20:4_22:6,-0.158107368,0.3559,FALSE,NO,NA,not,0.8962,0.4407
PE 20:4_22:6_2,-0.103146927,0.1973,FALSE,NO,NA,not,0.931,0.6349
PE 20:5_22:6,-0.291415443,0.8434,FALSE,NO,NA,not,0.8171,0.1434
PE 22:0_20:4,0.121811151,0.0821,FALSE,NO,NA,not,1.0881,0.8278
PE 22:1_20:4,-0.127683414,0.3637,FALSE,NO,NA,not,0.9153,0.4328
PE 22:6_22:6,-0.600993014,2.6155,TRUE,DOWN,PE 22:6_22:6,sig,0.6593,0.0024
PE 36:2,0.615133758,0.7121,FALSE,NO,NA,not,1.5317,0.194
PE 36:3,0.051859299,0.2519,FALSE,NO,NA,not,1.0366,0.5599
PE 37:1,0.399772661,0.217,FALSE,NO,NA,not,1.3193,0.6067
PE 38:7,0.163498732,0.2809,FALSE,NO,NA,not,1.12,0.5237
PE 39:7,0.193204014,0.3886,FALSE,NO,NA,not,1.1433,0.4087
PE 40:7,0.065434446,0.5396,FALSE,NO,NA,not,1.0464,0.2887
PE 40:8,0.137896932,0.6581,FALSE,NO,NA,not,1.1003,0.2197
PE 40:9,-0.042456799,0.1025,FALSE,NO,NA,not,0.971,0.7898
PE 40:9_2,-0.094495057,0.2052,FALSE,NO,NA,not,0.9366,0.6234
PE 42:10,-0.02782203,0.0403,FALSE,NO,NA,not,0.9809,0.9114
PE 42:9,0.147046143,1.6897,TRUE,UP,PE 42:9,sig,1.1073,0.0204
PEtOH 16:0_18:2,0.703809467,0.7297,FALSE,NO,NA,not,1.6288,0.1863
PG 16:0_18:1,0.083383588,0.153,FALSE,NO,NA,not,1.0595,0.7031
PG 16:0_18:2,-0.147202107,0.323,FALSE,NO,NA,not,0.903,0.4753
PG 16:0_19:1,-1.732643988,1.1283,TRUE,DOWN,PG 16:0_19:1,sig,0.3009,0.0744
PG 16:0_20:3,-0.25618347,0.5326,FALSE,NO,NA,not,0.8373,0.2934
PG 16:0_20:4,0.390557636,0.8392,FALSE,NO,NA,not,1.3109,0.1448
PG 16:0_22:6,0.327457434,0.4612,FALSE,NO,NA,not,1.2548,0.3458
PG 16:1_18:1,0.06942721,0.1623,FALSE,NO,NA,not,1.0493,0.6882
PG 16:1_18:1_2,0.327687364,0.6485,FALSE,NO,NA,not,1.255,0.2246
PG 16:1_18:2,0.106616329,0.1473,FALSE,NO,NA,not,1.0767,0.7124
PG 16:1_18:2_2,1.001514035,1.0309,TRUE,UP,PG 16:1_18:2_2,sig,2.0021,0.0931
PG 16:1_22:6,0.41196851,0.8222,FALSE,NO,NA,not,1.3305,0.1506
PG 16:2_22:6,0.201884743,0.3484,FALSE,NO,NA,not,1.1502,0.4483
PG 18:0_18:2,1.049979203,3.5042,TRUE,UP,PG 18:0_18:2,sig,2.0705,3.00E-04
PG 18:0_22:6,0.326422296,0.7572,FALSE,NO,NA,not,1.2539,0.1749
PG 18:1_18:1,0.252536767,0.5455,FALSE,NO,NA,not,1.1913,0.2848
PG 18:1_18:2,0.336397656,1.2222,TRUE,UP,PG 18:1_18:2,sig,1.2626,0.06
PG 18:1_18:2_2,0.140647793,0.3787,FALSE,NO,NA,not,1.1024,0.4181
PG 18:1_20:3,0.052276765,0.1276,FALSE,NO,NA,not,1.0369,0.7454
PG 18:1_20:3_2,0.036608829,0.0675,FALSE,NO,NA,not,1.0257,0.8561
PG 18:1_20:4,0.211136827,0.4215,FALSE,NO,NA,not,1.1576,0.3789
PG 18:1_20:4_2,0.342099565,1.3974,TRUE,UP,PG 18:1_20:4_2,sig,1.2676,0.04
PG 18:1_20:4_3,0.109828565,0.2244,FALSE,NO,NA,not,1.0791,0.5965
PG 18:1_20:5,0.118625514,0.2481,FALSE,NO,NA,not,1.0857,0.5648
PG 18:1_22:4,0.139076515,0.3077,FALSE,NO,NA,not,1.1012,0.4924
PG 18:1_22:5,0.047677975,0.1188,FALSE,NO,NA,not,1.0336,0.7607
PG 18:1_22:6,0.118891252,0.2407,FALSE,NO,NA,not,1.0859,0.5745
PG 18:2_18:2,0.783582374,2.4338,TRUE,UP,PG 18:2_18:2,sig,1.7214,0.0037
PG 18:2_18:3,1.076148597,1.8786,TRUE,UP,PG 18:2_18:3,sig,2.1084,0.0132
PG 18:2_18:3_2,0.646623508,0.9337,TRUE,UP,PG 18:2_18:3_2,sig,1.5655,0.1165
PG 18:2_20:3,-0.667721717,2.4376,TRUE,DOWN,PG 18:2_20:3,sig,0.6295,0.0037
PG 18:2_20:4,0.261350279,0.58,FALSE,NO,NA,not,1.1986,0.263
PG 18:2_20:5,0.242815884,0.508,FALSE,NO,NA,not,1.1833,0.3105
PG 18:2_22:5,0.123666196,0.2621,FALSE,NO,NA,not,1.0895,0.5469
PG 18:2_22:6,0.330787836,0.8674,TRUE,UP,PG 18:2_22:6,sig,1.2577,0.1357
PG 18:3_22:6,0.295605489,0.6267,FALSE,NO,NA,not,1.2274,0.2362
PG 18:3_22:6_2,0.386259141,0.4882,FALSE,NO,NA,not,1.307,0.3249
PG 20:0_22:6,-0.006072079,0.0101,FALSE,NO,NA,not,0.9958,0.977
PG 20:1_22:6,0.192951618,0.4237,FALSE,NO,NA,not,1.1431,0.377
PG 20:2_22:6,0.297015288,0.9988,TRUE,UP,PG 20:2_22:6,sig,1.2286,0.1003
PG 20:3_22:6,0.059493725,0.0708,FALSE,NO,NA,not,1.0421,0.8496
PG 20:4_22:4,-0.75097949,0.5857,FALSE,NO,NA,not,0.5942,0.2596
PG 20:4_22:5,-0.232768963,0.2511,FALSE,NO,NA,not,0.851,0.5609
PG 20:4_22:6,0.039278795,0.058,FALSE,NO,NA,not,1.0276,0.875
PG 20:5_22:5,0.104873377,0.1217,FALSE,NO,NA,not,1.0754,0.7556
PG 20:5_22:6,-0.393084058,0.7458,FALSE,NO,NA,not,0.7615,0.1796
PG 22:4_22:6,-0.1376478,0.1892,FALSE,NO,NA,not,0.909,0.6468
PG 22:5_22:6,-0.293005384,0.517,FALSE,NO,NA,not,0.8162,0.3041
PG 22:5_22:6_2,0.027578727,0.0422,FALSE,NO,NA,not,1.0193,0.9074
PG 22:6_22:6,-0.524500013,0.7303,FALSE,NO,NA,not,0.6952,0.1861
PI 16:0_18:2,-0.337885669,1.5575,TRUE,DOWN,PI 16:0_18:2,sig,0.7912,0.0277
PI 16:0_18:3,-0.137171742,0.5767,FALSE,NO,NA,not,0.9093,0.265
PI 16:0_20:3,-0.759258269,1.9604,TRUE,DOWN,PI 16:0_20:3,sig,0.5908,0.011
PI 16:0_20:4,-0.040823363,0.1812,FALSE,NO,NA,not,0.9721,0.6589
PI 16:0_20:5,-1.090495686,3.1193,TRUE,DOWN,PI 16:0_20:5,sig,0.4696,8.00E-04
PI 16:0_22:6,-0.548353672,2.0889,TRUE,DOWN,PI 16:0_22:6,sig,0.6838,0.0081
PI 16:1_18:2,-0.015520018,0.0125,FALSE,NO,NA,not,0.9893,0.9716
PI 16:1_20:4,-0.322108443,0.5083,FALSE,NO,NA,not,0.7999,0.3102
PI 17:0_18:2,-0.366243319,0.2226,FALSE,NO,NA,not,0.7758,0.599
PI 17:0_20:3,0.020768865,0.0368,FALSE,NO,NA,not,1.0145,0.9188
PI 17:0_20:4,-0.015665855,0.0909,FALSE,NO,NA,not,0.9892,0.8111
PI 17:0_20:5,1.253626278,0.6532,FALSE,NO,NA,not,2.3844,0.2222
PI 17:0_22:6,-0.112942706,0.7801,FALSE,NO,NA,not,0.9247,0.1659
PI 18:0_18:1,0.575699579,2.5843,TRUE,UP,PI 18:0_18:1,sig,1.4904,0.0026
PI 18:0_18:2,0.384270893,1.5731,TRUE,UP,PI 18:0_18:2,sig,1.3052,0.0267
PI 18:0_20:2,-0.197103705,0.3794,FALSE,NO,NA,not,0.8723,0.4174
PI 18:0_20:3,-0.342451452,0.8096,FALSE,NO,NA,not,0.7887,0.155
PI 18:0_20:3_2,-0.057391664,0.1386,FALSE,NO,NA,not,0.961,0.7268
