Sample,File,BMP 20:5_22:6,BMP 18:3_22:5,BMP 18:2_20:5,BMP 22:6_22:6,BMP 22:5_22:6,BMP 18:2_18:3,BMP 18:2_22:6,BMP 16:1_16:1,BMP 20:4_20:4,PG 22:5_22:6,BMP 18:2_20:4,BMP 18:1_20:5,BMP 18:2_18:2,BMP 16:0_18:3,BMP 16:1_22:6,BMP 18:1_18:3,BMP 18:2_22:5,BMP 16:0_22:6,BMP 16:1_20:4,PG 16:1_16:1,BMP 18:1_22:6,PG 18:1_22:6,BMP 18:0_20:5,PG 20:5_22:6,PG 18:2_18:3,PG 18:2_22:5,PG 20:5_20:5,BMP 18:0_20:4,BMP 18:1_20:4,BMP 18:3_18:3,PG 18:3_22:5,PG 18:2_18:2,PG 18:2_20:5,BMP 16:0_18:2,BMP 18:1_18:2,PG 16:0_18:3,PG 16:0_22:6,PG 20:5_22:5,PG 20:4_20:4,PG 18:3_18:3,PG 18:1_18:3,BMP 16:0_18:0,PG 22:5_22:5,PG 18:1_20:5,BMP 16:0_20:4,PG 16:0_20:4,PG 16:1_20:4,PG 18:3_22:6,PG 20:4_20:5,PG 18:2_20:4,BMP 16:0_16:0,BMP 16:0_16:1,PG 16:0_16:1,PG 18:1_20:4,PG 16:1_20:5,BMP 18:0_18:3,PG 18:0_18:3,PG 16:1_22:6,PG 16:0_18:2,PG 18:1_18:2,PG 18:0_20:4,BMP 18:1_18:1,PG 18:0_20:5,PG 18:2_22:6,BMP 18:0_18:2,PG 18:0_18:2,PG 16:0_20:5,PG 16:0_18:0,BMP 16:0_18:1,PG 16:0_18:1,PG 16:0_16:0,PG 18:1_18:1,BMP 18:0_18:1,BMP 18:0_18:0,PG 18:0_18:1,PG 18:0_18:0
L1,Liver_01_neg_021522_018.d,743.9609,49.5799,143.4439,25.5376,365.9108,69.0167,5160.3006,44.3348,280.9984,1880.7237,388.4535,229.5976,1862.0699,0.748,5.6543,79.5893,189.415,207.3526,5.9424,50.0747,7551.8962,45.0926,0.803,20.4952,0.4123,2.8935,0.472,61.1203,1302.511,1.7379,1.119,310.9018,6.8114,211.0242,4961.9854,45.1314,292.7877,1.0763,3.6925,2.2727,2.852,16.7406,44.2696,22.2927,37.0532,3989.2438,140.2723,17.9414,4.0446,68.6483,41.7404,28.8925,3847.5431,1015.2061,39.0645,2.4407,6.6031,336.4443,5568.4112,796.28,47.7471,6235.4143,17.2061,127.5792,44.4069,5286.8157,139.7529,235.1545,235.6939,11752.0644,92.4924,268.3489,101.7027,28.6398,1964.2886,84.0066
L10,Liver_10_neg_021522_022.d,1204.8027,11.1334,129.5043,61.5682,738.9294,27.685,623.635,14.9476,179.5175,1328.164,234.1751,284.8433,621.3558,0.2606,6.219,55.0655,86.4922,109.5223,0.8636,108.1445,6492.482,100.9416,1.009,33.5962,0.5132,0.6996,0.0136,57.926,1248.3364,0.1942,1.6691,544.5064,7.9617,75.5565,2793.0725,67.4798,295.7113,0.5881,17.8314,4.454,4.3288,45.5852,60.1899,26.8377,32.3229,4859.8693,102.2195,24.943,3.318,65.2832,58.2121,9.3688,5992.5395,792.2899,50.0789,1.2633,6.8172,359.591,4572.2002,463.7519,139.4409,4461.353,14.3306,225.4554,44.1758,5331.499125,71.5031,343.4215,109.036,14123.742,21.2066,187.4026,117.1263,31.7109,888.4961,153.1608
L11,Liver_11_dMRM_neg_021522_014.d,1129.4597,20.3017,142.0657,56.7401,615.4125,36.008,2909.0092,26.1369,270.9958,3345.7239,352.4151,279.071,1134.7196,0.395,4.6497,59.3566,173.6409,138.689,2.7586,106.9038,7937.0604,200.2201,0.9446,41.7698,0.5831,3.2818,0.2247,68.6286,1457.8674,4.5343,1.0115,408.0293,7.1735,96.6304,4034.7425,96.9695,349.7479,0.3969,10.715,8.6729,14.8368,18.5584,61.6242,31.4616,18.826,4293.0566,132.4175,48.8108,5.7813,94.4604,32.9559,13.8749,4596.6197,951.9195,35.7625,1.238,6.379,442.9413,7123.4098,1143.3739,219.3736,6391.8288,12.9292,178.8612,24.7894,5617.609,41.5826,513.2639,148.7632,21535.4391,110.9154,362.8557,111.1459,26.7723,2140.8381,75.0197
L2,Liver_02_dMRM_neg_021522_006.d,1269.3239,65.6832,169.3491,46.8408,548.7454,43.7296,3975.1846,33.4883,296.815,2864.6183,517.9736,273.5559,2028.7579,2.7572,2.7507,149.3098,307.4823,182.8438,5.343,43.5775,6227.9439,43.5044,0.9266,12.989,0.4679,9.0408,2.3453,68.9849,1489.1046,2.4098,0.544,1035.5377,50.6145,247.5849,5569.257,53.2853,256.0978,1.744,3.2879,2.021,4.2106,7.7576,30.7005,12.3224,52.2458,5112.7527,160.176,9.943,1.9108,48.3983,16.2564,9.9975,1866.1971,1064.9748,68.0989,28.0697,140.5406,430.9162,7468.8722,842.0954,147.2353,6336.8914,39.4949,165.3427,6.8152,11071.9029,304.639,377.8929,283.4274,17117.7865,257.0142,617.2206,134.6759,6.4988,5419.0088,223.2575
L3,Liver_03_neg_021522_019.d,693.9922,31.7214,140.26,15.9397,281.4129,36.9972,3206.5842,21.6468,212.89,787.8515,319.1889,212.1583,1397.0762,1.7129,3.7666,56.5399,103.5227,145.9898,5.087,41.7603,4894.3474,98.5714,2.6127,22.5025,0.5667,3.0435,0.4125,46.1722,1021.3277,3.2807,1.6474,492.5537,26.5339,114.276,3777.9034,16.0931,350.7164,0.0218,7.4514,2.6202,4.1381,23.3224,22.5807,15.0473,34.3443,4862.7536,163.1283,12.8608,2.0847,54.1156,36.6263,12.0202,3054.3923,1130.0006,19.5516,4.0156,14.3348,295.2605,5701.1936,450.1177,168.2578,4093.4628,25.3767,128.9516,62.829,6290.8385,76.6845,341.0999,105.1839,15355.1554,198.3531,268.1284,111.1243,2.737,2123.9327,84.2484
L5,Liver_05_dMRM_neg_021522_007.d,1155.0864,45.4007,177.5921,38.7431,463.5007,67.7901,4350.8229,49.1508,304.887,1936.1738,410.946,286.3166,1607.5801,2.3415,4.8283,166.2373,181.854,186.7589,6.1174,86.209,8059.2891,59.8342,0.9375,8.2716,0.1981,6.357,1.5418,79.2082,1643.1371,3.8388,1.2111,524.5472,63.3896,164.2,5060.0167,78.6487,369.4023,1.495,9.3866,4.8671,6.4479,12.026,35.2203,26.797,40.6939,3455.5093,196.9614,28.5804,3.6573,74.9339,22.0829,26.1098,3170.9478,621.9459,51.7495,1.9502,27.4078,527.0503,6909.7939,905.451,245.895,6193.3068,18.922,240.0682,7.4286,5359.9879,79.2332,451.2333,206.3986,21588.5578,113.0881,518.3412,139.9563,5.0993,2872.0517,124.3475
L6,Liver_06_dMRM_neg_021522_010.d,824.6829,34.9025,139.3806,28.3543,337.1165,60.2724,3916.7482,62.7872,280.8619,3589.5737,392.0346,247.6462,1475.6769,1.6584,8.3656,65.6153,148.597,207.6439,8.2775,259.0447,7046.8472,301.6649,0.8889,2.3074,1.0144,5.1666,0.6439,64.594,1403.649,3.657,4.9048,995.5633,4.4973,264.8591,4978.6939,176.3277,3856.6326,0.9362,19.8753,17.3313,11.3886,14.7774,56.4066,56.6726,1.6789,27938.5554,347.6509,78.3844,9.472,165.6372,83.7602,5.2351,22950.0647,2383.775,31.9077,8.3113,74.5163,815.8015,16346.7949,2084.2704,454.0412,5979.1102,49.3022,370.208,23.4067,8481.5202,335.4977,1076.3924,124.097,43892.6184,3339.8181,1479.2526,78.9435,26.1697,5272.7869,214.715
L7,Liver_07_dMRM_neg_021522_011.d,1247.4162,15.2412,115.3061,55.5272,648.6695,33.5728,3545.4646,15.4625,189.0141,472.934,282.6807,272.4151,861.3829,1.3277,5.5902,82.1972,84.3085,126.6808,3.1143,123.4247,7746.4123,275.4201,0.488,44.61,0.2674,10.6211,0.225,57.9467,1237.9041,1.3978,4.4692,1142.6873,4.8942,91.1451,3731.3069,93.1854,831.187,0.6456,14.3097,2.9716,10.2858,22.8396,46.3535,25.7096,17.2094,7163.058,154.7546,24.5475,5.7661,70.4863,29.5168,10.802,5376.218,1011.3824,19.135,8.3493,68.503,699.6692,10723.6816,1447.797,246.9843,6708.3042,29.333,298.1088,29.5404,6532.279,184.5762,849.2812,160.9875,37132.5693,517.0336,639.3629,114.6042,5.6145,3131.4769,150.2326
L8,Liver_08_dMRM_neg_021522_015.d,865.4113,21.9442,104.1584,49.9121,535.7366,28.7464,4600.6695,17.8659,233.9712,3022.4271,286.4943,197.6096,983.1055,1.48,4.2223,46.3761,170.8889,128.0522,2.8827,115.5141,7596.0409,115.6961,0.8101,41.7378,0.3513,1.1479,0.8054,65.4138,1383.9872,3.833,1.236,337.9272,2.5036,97.3417,3825.3674,74.0999,316.0281,0.8963,11.8478,4.5575,3.7783,16.6,48.474,22.0877,32.1979,2762.9256,82.4452,27.592,2.8723,69.5119,26.7222,11.2268,2986.4303,594.2287,24.424,1.4142,8.3894,391.9656,6306.2305,1070.5217,196.6011,5893.7898,11.1725,160.2506,40.8693,5182.9365,44.0699,346.4929,143.3003,17369.7988,95.0217,324.8444,111.6368,27.6052,1679.3702,71.1544
L9,Liver_09_dMRM_neg_021522_008.d,931.1319,35.507,88.105,32.8323,391.5851,12.5967,2320.1454,6.464,125.2908,1035.0786,260.6921,162.6292,755.1511,0.4029,1.995,60.893,86.9538,87.345,4.1936,61.5581,4807.1262,25.5789,0.3509,27.3497,0.2229,0.9624,0.3944,42.744,887.7441,1.5994,4.0385,665.1422,3.4828,93.167,3345.7868,64.4047,547.6113,0.1744,11.7778,7.1122,8.2618,46.0603,36.9089,23.1304,1.3749,5681.4029,172.511,24.5289,3.9222,57.7941,31.8504,2.0319,2755.852,672.032,47.8645,33.6732,119.8232,525.4803,7140.3569,952.8852,267.5782,4943.3668,19.1073,118.5216,73.6931,3993.172,162.7539,738.9609,159.9789,31744.3774,728.8676,681.112,122.3364,37.6978,2562.9186,294.0018