Sample,BMP 20:5-22:6 Results,BMP 18:3-22:5 Results,BMP 18:2-20:5 Results,BMP 18:3-22:6 Results,BMP 22:5-22:6 Results,BMP 22:6-22:6 Results,BMP 16:1-16:1 Results,BMP 18:2-22:6 Results,BMP 18:2-18:3 Results,BMP 20:4-20:4 Results,PG 22:5-22:6 Results,BMP 18:2-22:5 Results,BMP 18:1-20:5 Results,BMP 18:2-20:4 Results,BMP 16:0-18:3 Results,BMP 18:2-18:2 Results,BMP 16:1-22:6 Results,PG 20:5-22:6 Results,PG 18:2-22:5 Results,BMP 16:0-22:6 Results,BMP 18:1-18:3 Results,PG 18:2-18:2 Results,BMP 16:1-20:4 Results,PG 16:1-16:1 Results,PG 18:2-18:3 Results,BMP 18:1-22:6 Results,BMP 18:0-20:5 Results,BMP 22:5-22:5 Results,PG 20:5-20:5 Results,BMP 16:0-16:1 Results,BMP 16:0-20:4 Results,PG 18:3-22:5 Results,BMP 18:0-20:4 Results,BMP 18:1-20:4 Results,PG 18:1-20:5 Results,BMP 18:3-18:3 Results,BMP 16:0-18:2 Results,PG 18:3-18:3 Results,BMP 18:1-18:2 Results,BMP 16:1-20:5 Results,PG 16:0-18:3 Results,PG 18:2-20:5 Results,BMP 18:0-18:3 Results,PG 20:4-20:5 Results,PG 20:5-22:5 Results,PG 18:1-22:6 Results,PG 18:1-18:3 Results,PG 16:1-20:5 Results,BMP 16:0-16:0 Results,PG 18:3-22:6 Results,PG 16:0-22:6 Results,PG 18:1-18:2 Results,PG 16:0-20:4 Results,PG 16:0-16:1 Results,PG 20:4-20:4 Results,PG 18:0-18:3 Results,PG 16:1-20:4 Results,PG 18:1-20:4 Results,PG 18:2-20:4 Results,PG 22:6-22:6 Results,BMP 16:0-18:0 Results,PG 18:0-20:4 Results,PG 16:1-22:6 Results,PG 22:5-22:5 Results,PI 15:0_18:1(d7) Results,PG 18:2-22:6 Results,PG 16:0-18:2 Results,BMP 16:0-18:1 Results,BMP 18:1-18:1 Results,PG 18:0-20:5 Results,BMP 18:0-18:2 Results,PG 16:0-20:5 Results,PG 16:0-18:0 Results,PG 16:0-18:1 Results,PG 16:0-16:0 Results,PG 18:1-18:1 Results,PC 15:0_18:1(d7) Results,PG 18:0-18:2 Results,BMP 18:0-18:1 Results,BMP 18:0-18:0 Results,PG 18:0-18:1 Results,PG 18:0-18:0 Results
D_WT_01,0.4129,0.0059,0.0567,0.0159,5.9702,0.6014,8.1865,10.5839,0.1795,0.5636,25.9921,0.7975,1.824,0.4309,0.0405,0.8579,0.0126,0.0089,0.0848,13.2523,0.8065,0.261,0.1069,4.005,0.0147,153.0474,0.0037,0.01,0.0032,9.1601,1.149,0.0104,0.5255,14.8308,0.0199,0.0049,3.1403,0.0096,46.3074,0.8095,0.1138,0.365,0.8903,0.0384,0.3727,1.5479,0.1293,0.7483,1.0862,0.0223,0.1847,9.2292,69.666,64.1625,0.0114,0.8148,0.3477,36.7946,0.2021,0.2,0.2113,2.5745,1.1881,0.0245,0.0004,0.1023,4.7859,62.4648,693.1836,0.3398,4.2497,2.9329,38.2934,1487.7431,20.715,291.2091,0.1434,14.0653,25.3465,2.3438,297.1936,13.2393
D_WT_03,0.6176,0.0144,0.0289,0.0679,9.0453,0.5517,9.4535,13.3586,0.1053,1.079,31.4777,0.9764,2.2966,0.866,0.0882,1.252,0.021,0.0077,0.1437,16.1946,0.8269,1.0447,0.1564,4.8396,0.0085,195.4139,0.0133,0.0262,0.0266,11.2181,0.9402,0.0075,0.9067,19.6646,0.0714,0.0092,5.1939,0.0007,58.7461,1.3458,0.0446,0.0012,1.379,0.0846,0.0544,3.2711,0.1251,0.7812,3.1276,0.068,1.1585,16.0528,126.1747,113.9462,0.0432,2.5376,0.0413,62.3738,0.5018,0.2298,0.1169,4.3306,0.4149,0.0811,0.0315,0.9919,6.1208,85.0536,896.3857,0.9658,7.4869,2.3248,35.201,1740.6913,26.1841,331.1425,0.0691,16.5547,37.0177,3.0122,389.6338,16.9089
D_TFEB_01,0.667,0.0167,0.0765,0.0194,10.1873,0.5264,5.3504,11.0439,0.0459,2.0109,35.5292,1.4814,1.9852,0.0919,0.051,1.3201,0.0174,0.0176,0.1444,11.5139,0.1131,0.1463,0.0775,1.3962,0.0072,130.6734,0.0038,0.011,0.0009,7.0268,2.224,0.0095,0.6317,22.3623,0.0341,0.0169,3.8918,0.0001,38.9562,0.8893,0.03,0.2408,0.0176,0.0354,0.1888,1.1877,0.0264,0.1308,0.2415,0.0128,0.3776,7.0758,37.3985,21.8582,0.022,0.5762,0.397,12.9039,0.2767,0.1455,0.1816,0.9906,0.226,0.0409,0.0027,1.0257,3.2526,46.8401,445.6223,0.3436,4.0265,3.534,26.1549,1036.7859,12.2961,125.8187,0.051,6.998,17.3763,0.6287,209.1217,8.0456
M_Alg12_01,0.8499,0.0144,0.0517,0.2124,11.4946,1.1,9.0008,16.4019,0.1555,1.464,37.5675,1.8142,3.0509,1.7706,0.0192,2.9619,0.0282,0.0188,0.0624,16.2483,2.0308,0.2818,0.1343,2.4527,0.0091,217.9666,0.0085,0.0147,0.0129,7.9959,1.4088,0.0296,0.7427,22.6567,0.0275,0.006,4.6734,0.0005,66.9271,0.7059,0.1081,0.3393,0.7404,0.0968,0.3438,2.1957,0.2193,0.5499,1.4439,0.0673,0.0997,15.7596,132.2889,58.9243,0.0334,0.9752,0.4812,71.249,0.1857,0.0958,2.748,4.0994,1.0481,0.0654,0.0006,1.5144,5.3279,73.5409,823.3025,1.1387,5.9582,0.3873,32.5872,1304.1637,16.4422,292.1209,0.0422,16.5399,26.0833,2.5686,347.661,15.8873
M_Alg12_03,0.8014,0.0196,0.0647,0.0262,13.1334,0.9626,7.5368,14.196,0.0874,0.9459,36.2368,0.0571,2.1723,0.6965,0.0141,3.0222,0.0062,0.0134,0.0697,12.8884,2.3539,0.0745,0.1774,3.3127,0.0114,182.4031,0.0028,0.0204,0.0065,4.4326,1.0577,0.0613,0.2628,22.6349,0.0843,0.0031,3.6244,0.0375,51.922,0.5662,0.0388,0.3668,0.6254,0.0353,0.5046,1.4644,0.1794,0.6474,0.2734,0.0272,0.1177,8.6462,86.6536,38.1073,0.0138,0.9091,0.5142,48.6593,0.0667,0.1748,1.7095,3.8017,0.6303,0.1199,0.0006,0.2561,3.688,56.4228,662.9287,0.5374,4.5195,1.1178,30.5787,1175.2676,15.1559,233.3813,0.0578,12.938,19.4027,0.9655,297.033,13.3476
D_Alg12_01,0.4978,0.0066,0.0077,0.088,10.3175,0.6141,12.8356,12.6253,0.1334,0.7123,29.4796,1.1606,1.967,1.6488,0.0368,1.3644,0.0187,0.0173,0.0763,17.6588,0.4054,0.0146,0.1486,5.5952,0.0256,179.2055,0.0036,0.0163,0.0323,14.9352,2.6193,0.0195,0.517,22.2816,0.108,0.0071,5.9711,0.0245,60.5256,1.2668,0.0666,0.1988,1.2435,0.0191,0.1999,3.151,0.1037,0.7226,2.4923,0.022,0.2893,19.2278,168.567,152.8122,0.0305,2.191,0.3077,84.0522,0.6798,0.0737,2.6432,4.6283,0.8387,0.2395,0.0006,0.1888,7.0162,93.8303,859.0626,1.4012,8.6429,1.6378,37.1136,1871.3885,35.0341,422.7131,0.0822,19.8135,47.4046,2.8013,468.9907,20.4914
D_TFEB_02,0.5635,0.0344,0.0289,0.1507,10.2064,0.8136,6.9311,11.6362,0.0653,1.6167,32.9724,0.6262,0.7432,1.2263,0.0328,1.4517,0.0044,0.0067,0.0225,14.0618,0.6738,0.7813,0.0643,1.7442,0.0002,145.9915,0.0049,0.006,0.0045,9.3333,1.9069,0.0042,0.508,20.8659,0.0147,0.0044,4.5967,0.0006,44.1992,0.9358,0.0181,0.3084,0.426,0.0503,0.2264,1.2289,0.0982,0.4966,5.1702,0.01,0.0913,10.7333,48.9662,33.4343,0.0772,0.8039,0.4543,18.3762,0.0413,0.2308,2.1821,1.2734,0.3315,0.0404,0.0004,0.6932,3.8939,57.2139,565.2845,0.378,4.246,2.4868,30.5007,1185.6109,14.2808,155.6425,0.0043,8.3553,25.9966,0.9402,241.2523,8.8265
M_WT_03,0.5951,0.0079,0.0368,0.1557,11.3371,0.9061,4.8311,12.1613,0.0269,0.7928,32.5877,1.2979,1.8117,0.2629,0.0031,0.9825,0.0618,0.0039,0.1209,11.3294,2.2079,0.2661,0.0215,1.6126,0.0003,170.5961,0.0068,0.0229,0.035,3.4924,0.4145,0.0199,0.4592,17.1751,0.0437,0.0115,1.7354,0.0004,43.8525,0.1167,0.0167,0.4135,0.3435,0.1459,0.4082,1.8239,0.0667,0.7451,1.1867,0.0266,0.166,8.9026,62.2856,28.7848,0.0224,0.6253,0.0669,32.9573,0.2244,0.0402,1.3658,2.4726,0.5968,0.0622,0.0004,0.9568,3.8859,48.5664,655.6608,0.3017,2.8513,0.3116,27.4996,1079.9133,12.176,195.5369,0.0562,10.9386,19.0308,0.6449,233.7209,10.7497
M_Alg12_02,0.6911,0.0151,0.0119,0.0622,12.6136,0.9587,6.6694,13.8232,0.1228,1.2916,33.37,1.318,2.1591,1.6287,0.0199,1.5493,0.0333,0.0067,0.0268,12.3828,0.1128,0.1513,0.271,2.9961,0.0108,179.4552,0.0053,0.0014,0.0162,6.5855,0.4783,0.0158,0.4771,21.0245,0.0094,0.0041,1.1677,0.0385,50.4456,1.3268,0.0461,0.2059,0.2877,0.0967,0.2033,1.8459,0.1247,0.6781,1.2359,0.019,0.1707,10.9254,94.8887,40.9846,0.0218,1.0519,0.3292,53.0551,0.399,0.1818,1.2964,3.0928,0.3851,0.0117,0.0003,0.9703,3.7478,56.8535,675.7711,1.0153,4.1588,2.9074,32.7538,1268.8101,16.832,263.0669,0.0554,13.4878,19.8735,1.6252,319.9158,13.9031
D_Alg12_02,0.3817,0.0223,0.0309,0.0173,4.9756,0.4613,7.6638,8.1344,0.0356,0.8717,21.6446,0.813,1.5076,0.4331,0.0223,0.929,0.0198,0.0683,0.0767,10.172,2.1253,0.2976,0.1437,3.75,0.0154,107.7763,0.003,0.016,0.0227,8.6425,1.0258,0.0163,0.3581,13.2392,0.0151,0.009,3.1146,0.0234,33.1963,1.2303,0.0196,0.2002,0.0593,0.0085,0.3463,0.8564,0.0452,0.6918,6.6031,0.0246,0.0649,4.1229,55.7963,45.9928,0.0475,0.3543,0.0318,26.045,0.2772,0.0246,2.0855,1.5047,0.3078,0.0125,0.0011,0.3015,4.0651,47.5191,463.6588,0.5462,3.3904,0.6044,22.77,1269.7706,24.5781,232.8839,0.0427,13.098,19.1043,1.2023,286.6921,10.7377
D_WT_02,0.6181,0.0041,0.0165,0.0108,9.4075,0.9037,9.9315,12.8423,0.0336,0.6679,30.2291,1.0098,2.1337,0.7938,0.0313,2.4929,0.005,0.0298,0.0486,16.3094,1.0798,0.7916,0.0743,3.2026,0.0278,203.1318,0.0122,0.0604,0.0063,7.0211,1.0883,0.0072,0.6532,21.5308,0.0099,0.0119,3.3684,0.0103,53.2969,1.6963,0.0063,0.1592,0.0348,0.1063,0.2341,3.4287,0.1328,0.5865,0.4457,0.0668,0.2712,21.3251,148.7056,131.8795,0.0124,2.6232,,71.7815,0.3454,0.0786,3.3346,3.8386,0.887,0.1176,0.0004,1.1879,7.1478,65.0077,979.4503,1.3399,8.335,2.1521,35.1037,1799.1819,28.9681,366.351,0.0487,18.5499,40.111,3.3509,405.902,14.4071
D_Alg12_03,0.4794,0.0296,0.1034,0.0115,7.2485,0.3832,10.5035,10.557,0.0342,1.2953,24.1956,1.2013,1.7706,0.5578,0.0298,2.6906,0.04,0.0135,0.0624,13.6614,2.782,0.2658,0.1819,4.9166,0.0005,148.7927,0.0036,0.0042,0.0249,11.8869,1.2098,0.0018,0.3072,18.1327,0.1016,0.0032,3.8944,0.0252,42.2859,1.0063,0.0669,0.3591,0.5956,0.0255,0.4602,1.642,0.0842,1.2124,1.4757,0.0202,0.1749,8.1355,108.333,94.7696,0.0064,1.4158,0.4849,52.8518,0.2412,0.053,1.8752,2.4074,0.2175,0.1306,0.0005,0.1657,6.4655,74.3999,652.8309,0.8885,3.9726,3.02,41.3376,1684.2901,27.7107,337.1365,0.1142,16.6598,27.3839,1.7758,387.9681,13.6863
M_TFEB_01,0.7112,0.0101,0.0504,0.1022,13.0222,1.1381,4.4324,13.0497,0.0343,1.3166,46.929,0.8374,1.8944,0.2064,0.0148,0.4893,0.11,0.2362,0.1205,12.3718,0.9779,0.4252,0.0639,2.7789,0.0145,172.2185,,0.0111,0.0513,3.1518,0.4792,0.0078,0.6709,21.0129,0.0374,0.0026,3.4166,0.0237,41.0544,0.4882,0.0079,0.1348,0.0135,0.1535,0.5015,0.7839,0.1064,0.2964,0.1308,0.0454,0.0886,5.8006,32.0384,13.0255,0.0327,0.6115,0.5234,12.4424,0.0154,0.0795,1.2029,1.2358,0.7317,0.0583,0.0013,1.3527,1.8188,44.4543,516.9306,0.0501,3.3354,0.5751,25.9807,1025.5112,7.541,114.2598,0.097,7.3844,16.0505,0.9509,192.0174,8.107
M_TFEB_03,0.2203,0.0014,0.0585,0.1395,9.9555,0.933,1.6727,9.8247,0.0329,0.6744,36.5179,1.3659,1.4845,1.1984,0.0039,0.5584,0.0521,0.0196,0.1344,8.5967,0.0761,0.0403,0.0146,0.6294,0,122.6428,0.0135,0.0251,0.0041,3.7487,0.6735,0.0655,0.8258,16.084,0.038,0.0075,1.1207,0.0126,29.8915,0.6982,0.0235,0.3537,0.0095,0.0411,0.6205,0.8221,0.0132,0.6161,0.1062,0.0003,0.0288,2.1846,19.5216,7.5241,0.0457,0.0892,0.0335,6.6406,0.1625,0.0351,1.0243,0.6957,0.5266,0.0088,0.0013,0.2811,2.2493,31.281,373.0235,0.4121,1.9323,4.4836,19.8607,799.2553,6.3012,89.5053,0.0623,5.8884,7.7533,0.4655,154.0131,5.9192
IS_PB,0.0013,0.0014,0.0029,0.0015,0.0087,0.0051,0.0006,0.0207,0.0005,0,0.0145,0.0002,0.0004,0.0088,0.0079,0.0004,0.0018,0.0014,0.0006,0.0071,0.0025,0.0052,0.0057,0.0234,0.0008,0.0058,0.0093,0.0009,0.014,0.0094,0.0002,0.008,0.0041,0.0036,0.0072,0.0082,0.0022,0.0423,0.0019,0.0002,0.0102,0.0004,0.001,0.0234,0.0004,0.0001,0.0288,0.001,0.0045,0.0192,0.0337,0.049,0.0404,0.0012,0.0005,0.0006,0.0296,0.0292,0.0003,0.2097,0.0005,0.0009,0.036,0.0035,0.0105,0.0012,0.0216,0.0039,0.0097,0.005,0.0014,0.017,0.0017,0.3115,0.0044,0.1374,0.0813,0.004,0.002,0.0007,0.0171,0.0016
M_WT_02,0.5877,0.0478,0.1071,0.0162,11.1771,0.9562,4.8927,12.5198,0.0595,0.3153,33.6767,1.0902,1.8347,0.7179,0.0461,0.8907,0.025,0.054,0.0311,11.2207,1.3444,0.1379,0.0536,1.7454,0.0019,183.3968,0.0015,0.0258,0.0261,4.4049,0.6312,0.0046,0.5176,17.8024,0.0687,0.0217,2.4227,0.0086,45.1137,0.4002,0.0602,0.0402,0.0343,0.3307,0.3797,2.314,0.0449,0.0683,0.3329,0.0374,0.0963,8.6397,60.7624,26.3758,0.0198,0.8514,0.3381,34.9851,0.1931,0.1842,1.3561,2.0916,0.4668,0.0164,0.0003,0.4235,3.6776,50.1174,665.6946,0.678,3.2957,1.7231,26.0015,1041.8858,10.9211,214.0347,0.0273,11.8807,25.0535,1.5179,227.4567,10.2137
M_WT_01,0.8639,0.0258,0.0358,0.0385,16.821,1.3553,6.6613,17.3843,0.1125,1.4932,43.818,1.75,2.6564,1.0679,0.0465,1.0678,0.0367,0.0164,0.1064,15.2698,0.6467,0.5688,0.077,2.744,0.0071,244.6774,0.0188,0.0089,0.0114,2.9789,2.2315,0.0142,0.6161,26.1786,0.1223,0.0111,3.5606,0.0164,54.04,1.2469,0.0637,0.2546,1.023,0.0507,0.2066,3.0878,0.0648,0.5858,2.1725,0.0343,0.2978,24.0001,146.9906,66.1625,0.0402,1.6443,0.304,78.7721,0.3305,0.1687,0.0903,5.2943,0.4926,0.0927,0.0009,1.208,3.7302,53.2233,956.0277,0.5555,5.4628,1.7253,38.0567,1474.8422,16.8863,305.8169,0.0485,16.5052,28.5544,2.4145,340.5633,12.5734
M_TFEB_02,0.5015,0.0027,0.038,0.0875,8.5667,0.7268,3.6793,10.1068,0.02,0.4981,34.8256,0.8534,1.5441,0.8711,0.0017,0.56,0.0172,0.0056,0.0111,9.3078,1.3008,0.2107,0.0309,1.5343,0.0046,129.6289,0.0029,0.0156,0.019,4.6709,1.018,0.0267,0.3665,15.8289,0.0512,0.0001,2.3873,0.0401,32.8474,0.5643,0.0531,0.1491,0.0203,0.0568,0.2169,1.1505,0.0203,0.5246,0.1151,0.0237,0.032,4.258,22.0095,8.7795,0.0713,0.5997,0.1773,7.4983,0.1405,0.014,0.0813,1.1725,0.3199,0.1506,0.0135,0.8486,1.9357,36.1989,415.2862,0.3114,2.2514,1.9746,18.2866,814.6773,6.9871,91.8779,0.0788,5.5347,15.5578,0.819,152.1237,6.4362
D_T03,0.5618,0.0209,0.1499,0.0459,9.3238,0.5932,2.5959,11.3578,0.0796,0.5425,34.3718,0.4385,1.9953,0.4831,0.0215,1.6591,0.049,0.0071,0.1958,14.0373,0.1447,0.0548,0.0092,1.9428,0.0145,146.1178,0.0142,0.0035,0.0065,9.0131,1.933,0.0098,0.5891,20.8016,0.0957,0.0086,4.0533,0.0272,20.7321,0.9191,0.0294,0.0293,0.5788,0.5055,0.3103,0.9499,0.0103,0.7676,3.5601,0.0561,0.5285,12.249,52.6161,35.9835,0.0365,1.0609,0.0358,19.671,0.2251,0.222,1.7391,1.9132,0.4439,0.0114,0.0006,0.4382,4.2223,55.7023,558.0075,0.698,4.6934,3.1117,32.8894,1295.9653,14.7494,167.3317,0.028,8.956,7.8965,0.6038,255.369,9.3856