Sample ,Cell_line,ug_mL_protein,ug_protein
1,LacZ,937.8,93.78
2,LacZ,1068.01,106.801
3,LacZ,1086.62,108.662
4,hAlg12,1051.74,105.174
5,hAlg12,951.75,95.175
6,hAlg12,998.26,99.826
7,scramble_1,795.97,79.597
8,scramble_1,1002.91,100.291
9,scramble_1,942.45,94.245
10,scramble_1,1023.84,102.384
11,scramble_1,1105.22,110.522
12,scramble_1,1356.34,135.634
13,siTFEB_siM6PR,1165.67,116.567
14,siTFEB_siM6PR,1549.33,154.933
15,siTFEB_siM6PR,1070.34,107.034
16,siTFEB_siM6PR,1330.76,133.076
17,siTFEB_siM6PR,926.18,92.618
18,siTFEB_siM6PR,1321.46,132.146
19,scramble_2,912.23,91.223
20,scramble_2,1281.93,128.193
21,scramble_2,1149.4,114.94
22,scramble_2,1756.27,175.627
23,scramble_2,1784.18,178.418
24,siPla2g15,1244.73,124.473
25,siPla2g15,1451.67,145.167
26,siPla2g15,1040.11,104.011
27,siPla2g15,1091.27,109.127
28,siPla2g15,1030.81,103.081
29,siPla2g15,1440.05,144.005